FACILITY_NAME,LATITUDE,LONGITUDE
Morvant Precast Concrete Products LLC,30.259444,-92.057500
KC Trucking & Equipment - C&C Land Sales,30.172500,-93.113889
Dupont Sand LLC,30.325556,-91.996111
Randy Anny - Borrow Pit Project,30.067667,-90.887417
Fill Materials LLC - Dredging Project,,
Greenwood 950 LLC - W Greenwood Dirt Pit,32.445556,-94.028333
RHB Dirt Depot LLC,30.019722,-90.660556
Besco Materials LLC,30.046944,-91.952500
Sierra Frac Sand LLC - Sierra Frac Sand,32.728333,-93.793611
Bonner Dirt Contractors Inc - Copper Run Dirt Pit,32.563789,-92.004917
HD Truck & Tractor,30.183889,-93.128889
Southern Aggregates LLC - Plant 4,30.967500,-90.857500
Amethyst Construction Inc - Clay Dirt Pit,32.423220,-92.657393
Lincoln Parish Police Jury - Dirt Pit,32.653222,-92.695528
Woodland Borrow Pits LLC - South Sand Pit,29.577500,-89.815556
Southern Constructors LLC Dirt Pit,29.960556,-91.762778
Bishop Endeavors LLC - Chandler Tract,30.855161,-90.849350
Amethyst Construction Inc - Spencer Dirt Pit,32.721239,-92.116125
Levee Construction & Development LLC - Stumpf Pit 1,30.028056,-89.892778
South LA Fill Materials LLC - Beck Dirt Pit,30.066389,-91.028333
D&G Construction LLC - Dirt Pit,30.240694,-93.321083
Midway Cattle Ranch LLC - Myrtle Grove Borrow,29.662028,-89.995944
Southern Aggregates LLC - Plant 10,30.614575,-90.925694
Civil Construction Co & Environmental Services LLC - Kile Dirt Pit,30.249444,-93.325556
Regional Sand & Gravel LLC,30.791389,-90.859167
Bosport LLC - Dirt Pit,32.450639,-93.570472
McManus Construction LLC - Evergreen Dirt Pit,30.252778,-93.315000
LADOTD - Hwy 1 Debris Site,31.087058,-92.049347
Five Star Industrial LLC,30.253556,-93.469542
R L Branch Construction LLC - R L Branch Dirt Pit,32.498740,-92.624690
D&J Construction Co Inc - Sand Pit,32.435833,-92.211389
Five Star Industrial LLC - Hwy 27 Borrow Pit,30.108142,-93.359439
Regional Sand & Gravel LLC - Plant 2,30.712000,-90.853600
Siboney Contracting Co - Corbello Dirt Pit,30.227500,-93.647500
Prairie Road LLC - Dirt Pit,32.452300,-92.051700
South Louisiana Fill Materials LLC - River Dredging & Pit Operations,30.005725,-90.747450
Iberia Aggregates & Construction Materials LLC,30.109717,-91.925742
Rig Masters Inc,31.710583,-91.967528
Randy Alston Trucking LLC - Randy Alston Dirt Pit - Truax Pond,30.253000,-93.356194
Brent Browning LLC - Watkins Mining Site,30.545478,-90.984092
Grand Coteau Dirt & Sand LLC,30.406983,-92.016317
D&G Construction LLC - John Brannon Rd Dirt Pit,30.127806,-93.401572
B&D Materials LLC - Sand Pit,30.212500,-91.832778
Steve Douglas Rye - Rye Dirt Pit,32.717803,-91.421717
Templeton Trucking Co Inc - Delhi Pit,32.430158,-91.496192
Aggregate Reclaimers LLC - St Helena Facility,30.881944,-90.842778
Warner Trucking Inc - Warner Trucking & Dirt Pit,30.606589,-90.321878
Leon Lowe & Sons Inc,30.328656,-89.751753
Five-S Industrial - Hall & Guth Borrow Pit,30.095833,-93.220833
MineralTech Gulf Coast Abrasives LLC - Kinder Sand Plant,30.450531,-92.971222
Performance Proppants LLC - North Louisiana Sand Plant,32.598333,-93.751119
Cenla Minerals LLC,31.061111,-92.492778
Sierra Frac Sand LLC - Cedar Bluff Plant,32.804339,-93.772839
Double D Construction LLC - Comite Property,30.559400,-91.121100
LMP Truck & Dirt Services LLC - Commercial Sand & Gravel Operation Project,,
Southern Aggregates LLC - Plant 14,30.679333,-90.541671
JMR Commercial Real Estate LLC - Tiger Bend Rd Dirt Pit,30.391536,-91.020475
R A Edgin Construction Co - Millican Pond,30.615061,-91.171769
Southern Aggregates LLC - Plant 20,30.897489,-93.408944
DG Hauling LLC,30.355000,-91.878889
Bondco Dirt - 838 Dirt Pit,32.472292,-92.262075
DTE Gen6 Proppants LLC - Gen6 Proppants 1,32.135214,-93.492056
JMR Commercial Real Estate LLC - Tiger Bend Road Dirt Pit,30.388289,-91.003200
Scott Green Properties LLC - Cotten Road Borrow Pit,29.649839,-91.296981
Star Silica LLC - West Monroe Sand & Gravel Facility,32.438475,-92.195275
Black Lake Properties LLC - Black Lake Property,30.121472,-92.825722
Anthony Trahan Dirt Services LLC - Guidry Dirt Pit,30.107750,-93.350903
Fill Materials LLC,30.041886,-90.612450
Southern Aggregates LLC - Plant 24 - Triple J Farms,30.717972,-90.039167
Tri-Parish Sand & Gravel LLC - St Helena Sand & Gravel Pit,30.721000,-90.820972
