OBJECTID,Mine_ID,Mine Name,Operation Type,Mine Status,Primary Product,Other Products,Owner,Operator,Lead Agency,Report Year,Acres Disturbed,Reclamation Status,Permit Number,Permit Acres,Financial Assurance Mechanism Total,Financial Assurance Cost Estimate,Latitude,Longitude,x,y
935048,91-13-0068,YUHA BASIN-CALEXICO-MERGED W/13-0072,OPEN PIT,CLOSED - MERGED,Sand and Gravel,,"GIBSON & SCHAEFER, INC.","GIBSON & SCHAEFER, INC.",County of Imperial,1999,20,RECLAMATION IN PROGRESS,"CA 40706,CA-060-FP9-38",,5000,,32.675,-115.758333,-12886158.6846,3852244.677500002
935049,91-13-0031,YUHA PIT,OPEN PIT,RECLAIMED,Sand and Gravel,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,2002,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CA-19173,0.00,,,32.676944,-115.768889,-12887333.7732,3852501.7709000036
935050,91-37-0038,SWEETWATER RESERVOIR,,RECLAIMED,Sand and Gravel,,SWEETWATER AUTHORITY,SWEETWATER AUTHORITY,County of San Diego,1994,46.25,RECLAMATION IN PROGRESS,RP 80-05,,,,32.705,-116.958889,-13019803.9672,3856212.7914000005
935051,91-13-0063,DROP 3 CLAY PIT,OPEN PIT,RECLAIMED,Clay,,IMPERIAL IRRIGATION DISTRICT,IMPERIAL IRRIGATION DISTRICT,County of Imperial,2011,,RECLAMATION NOT STARTED,"79-201,CA060-IPO-",,,0,32.712222,-115.127778,-12815965.623100001,3857168.2479000017
935052,91-13-0070,PILOT KNOB,UNDETERMINED,RECLAIMED,Sand and Gravel,,"RIVER ROCK & SAND, INC.","RIVER ROCK & SAND, INC.",County of Imperial,1997,,RECLAMATION NOT STARTED,BLANK,180.00,15000,,32.724444,-114.726667,-12771314.1508,3858785.3708999977
935053,91-13-0088,MAGGIO FARMS,OPEN PIT,RECLAIMED,Fill Dirt,,"C.A. RASMUSSEN COMPANY, LLC","C.A. RASMUSSEN COMPANY, LLC",County of Imperial,1996,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP 1183-95,197.00,,,32.727778,-115.383333,-12844413.875599999,3859226.5392000005
935054,91-37-0018,LA POSTA SAND PIT,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Decomposed Granite,,,,County of San Diego,1997,0,RECLAMATION IN PROGRESS,P84-036,21.00,,,32.731667,-116.414444,-12959196.6271,3859741.1680999994
935055,91-37-0042,MONTE VISTA PIT,QUARRY,RECLAIMED,Fill Dirt,,"SAN DIEGO COUNTY, DEPARTMENT OF PUBLIC WORKS",COUNTY OF SAN DIEGO,County of San Diego,2018,45,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,P87-073,55.00,,0,32.736111,-116.946111,-13018381.5268,3860329.2673000023
935056,91-37-0060,RANCHO SAN DIEGO GOLF COURSE,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,WESTER GOLF RESOURCES,"J. CLOUD, INC.",County of San Diego,1999,5,RECLAMATION NOT STARTED,,,,0,32.740278,-116.927778,-13016340.706500001,3860880.7361999974
935057,91-13-0058,"TIERRA TILE, INC.",OPEN PIT,RECLAIMED,Sand and Gravel,,HOYT,"TIERRA TILE, INC.",County of Imperial,1998,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"CA-36121,RP 140-90",,,,32.748889,-115.268889,-12831674.027800001,3862020.4143999964
935058,91-37-0011,JAMACHA ROCK QUARRY,QUARRY,ACTIVE,Decomposed Granite,,SUPERIOR READY MIX,SUPERIOR READY MIX CONCRETE,County of San Diego,2018,66,RECLAMATION NOT STARTED,RP 79-004,0.00,250479,215775,32.76,-116.928056,-13016371.6534,3863491.1340999976
935059,91-37-0017,GENE TAYLOR MATERIALS,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,TAYLOR TRUST,TAYLOR TRUST,County of San Diego,1994,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"P77-012,RP78-006",,,,32.76,-116.89,-13012135.2788,3863491.1340999976
935060,91-37-0020,HESTER'S GRANITE,QUARRY,ACTIVE,Sand and Gravel,,HESTER'S GRANITE COMPANY,ROBERTSON'S READY MIX,County of San Diego,2018,72.75,RECLAMATION NOT STARTED,L7505,94.00,473689,519731,32.764444,-116.89,-13012135.2788,3864079.420400001
935061,91-13-0095,AMMEX PIT,QUARRY,ACTIVE,Sand and Gravel,,"PYRAMID CONSTRUCTION AND AGGREGATES, INC.","PYRAMID CONSTRUCTION AND AGGREGATES, INC.",County of Imperial,2018,49,RECLAMATION NOT STARTED,,75.00,49705.38,48495,32.771111,-116.022222,-12915534.673700001,3864962.0371999964
935062,91-13-0002,HOLTVILLE #1,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,EXEMPT,Sand and Gravel,,BUREAU OF LAND MANAGEMENT,DESERT GRAVEL COMPANY,County of Imperial,1991,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,,,,,32.771111,-115.266944,-12831457.5114,3864962.0371999964
935063,91-13-0006,OCOTILLO/ SHELL CANYON PIT,QUARRY,ACTIVE,Sand and Gravel,,"Cal-Grade, Inc.","Cal-Grade, Inc.",County of Imperial,2018,55,RECLAMATION NOT STARTED,,80.00,167466.8,,32.7725,-116.024444,-12915782.0257,3865145.9296000004
935064,91-13-0012,OCOTILLO (CARROLL),STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,NEWLY PERMITTED,Sand and Gravel,,ROBERTSON'S READY MIX,IMPERIAL VALLEY AGGREGATES,County of Imperial,2018,0,RECLAMATION NOT STARTED,BLANK,480.00,,116977.5,32.776389,-116.049444,-12918565.0129,3865660.8170000017
935065,91-13-0009,SHELL CANYON,OPEN PIT,IDLE,Sand and Gravel,,"FLORIDA ROCK INDUSTRIES, INC.",CALMAT CO. DBA VULCAN MATERIALS COMPANY,County of Imperial,2018,97,RECLAMATION NOT STARTED,,135.00,528244,530875,32.776944,-116.016389,-12914885.347199999,3865734.2985000014
935066,91-37-0028,MISSION VALLEY - EX FENTON - RECLAIMED,OPEN PIT,RECLAIMED,Sand and Gravel,,CALMAT COMPANY,CALMAT COMPANY,City of San Diego,2009,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,82-0005,32.00,370589,0,32.778056,-117.151944,-13041294.7515,3865881.5276999995
935067,91-37-0027,SLOAN CANYON,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL",EXEMPT,Sand and Gravel,,SYCUAN TRIBAL DEVELOPMENT CORP.,SYCUAN TRIBAL DEVELOPMENT CORP.,County of San Diego,2012,,RECLAMATION IN PROGRESS,P74-68W,658.00,100445,,32.778056,-116.866944,-13009568.696600001,3865881.5276999995
935068,91-13-0052,OCOTILLO,UNDETERMINED,IDLE,Sand and Gravel,,CALIFORNIA DEPARTMENT OF TRANSPORTATION,CALIFORNIA DEPARTMENT OF TRANSPORTATION,County of Imperial,2018,85,RECLAMATION NOT STARTED,,144.00,73042,152340.33,32.778889,-116.043056,-12917853.904,3865991.818400003
935069,91-37-0026,MISSION VALLEY - RECLAIMED,"OPEN PIT,PLANT OR MILL",RECLAIMED,Sand and Gravel,,CALMAT COMPANY,CALMAT COMPANY DBA VULCAN MATERIALS COMPANY,City of San Diego,2014,89.5,RECLAMATION IN PROGRESS,BLANK,0.00,1220534,0,32.78,-117.143056,-13040305.343899999,3866138.9184999987
935070,91-13-0017,SHELL CANYON SITE/PIT,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,IDLE,Sand and Gravel,,IMPERIAL VALLEY AGGREGATES,IMPERIAL VALLEY AGGREGATES,County of Imperial,2018,52,RECLAMATION NOT STARTED,BLANK,0.00,118235.79,115410.9,32.781667,-116.028333,-12916214.9472,3866359.6382
935071,91-37-0004,MISSION VALLEY ROCK PLANT - RECLAIMED,"OPEN PIT,PLANT OR MILL,QUARRY",RECLAIMED,Sand and Gravel,,"MISSION CITY, INC.",H.G. FENTON MATERIAL COMPANY,City of San Diego,2003,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CUP82-0014,0.00,73398,,32.785,-117.13,-13038851.9566,3866800.9575000033
935072,91-13-0098,JIMENEZ MINE,OPEN PIT,ACTIVE,Sand and Gravel,,IMPERIAL VALLEY AGGREGATES,IMPERIAL VALLEY AGGREGATES,County of Imperial,2018,100,RECLAMATION NOT STARTED,"179-95,CA-MC-38207",,99000,293320.7,32.788611,-116.056111,-12919307.18,3867279.105300002
935073,91-13-0018,OCOTILLO (SCHAEFER),STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,GRANITE CONSTRUCTION COMPANY,GRANITE CONSTRUCTION COMPANY,County of Imperial,2001,0,RECLAMATION IN PROGRESS,24-83,0.00,18213,,32.79,-116.041944,-12917730.116700001,3867463.0337999985
935074,91-13-0036,SHELL CANYON,OPEN PIT,RECLAIMED,Sand and Gravel,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,1995,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CA 19187,0.00,,,32.798056,-115.99,-12911947.7371,3868529.8495000005
935075,91-13-0059,CITY OF EL CENTRO M.S.,OPEN PIT,RECLAIMED,Fill Dirt,,CITY OF EL CENTRO,EL CENTRO CITY,County of Imperial,2012,5,RECLAMATION IN PROGRESS,CA060-FP95,0.00,,0,32.799167,-115.889722,-12900784.8412,3868676.981200002
935076,91-13-0030,PLASTER CITY,OPEN PIT,RECLAIMED,Sand and Gravel,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,1995,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,CA-19174,0.00,,,32.801944,-115.873889,-12899022.319699999,3869044.7524000034
935077,91-13-0075,BECKER DIXIELAND MINE,OPEN PIT,IDLE,Sand and Gravel,,"FLORIDA ROCK INDUSTRIES, INC.",CALMAT CO. DBA VULCAN MATERIALS COMPANY,County of Imperial,2018,91,RECLAMATION NOT STARTED,,240.00,233069,275325,32.802778,-115.798611,-12890642.4111,3869155.2051
935078,91-13-0034,PAINTED GORGE,OPEN PIT,IDLE,Sand and Gravel,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,2018,35,RECLAMATION NOT STARTED,CA-21647,0.00,29356.63,33263,32.803333,-115.957222,-12908298.9068,3869228.708499998
935079,91-37-0024,CANYON ROCK,QUARRY,ACTIVE,Sand and Gravel,,SUPERIOR READY MIX CONCRETE,SUPERIOR READY MIX CONCRETE,City of San Diego,2018,359,RECLAMATION NOT STARTED,CUP 82-061,200.00,270000,247268,32.805,-117.093056,-13034739.3693,3869449.486100003
935080,91-37-0056,PALO VERDE DESILTATION & RECLAMATION PROJECT,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,EXEMPT,Specialty Sand,Fill Dirt,PALO VERDE RANCH HOMEOWNERS ASSOCIATION,PALO VERDE RANCH HOMEOWNERS ASSOCIATION,County of San Diego,2008,0,RECLAMATION IN PROGRESS,"MUP 85-001,RP  85-01",,,20000,32.8125,-116.716667,-12992839.9375,3870442.837899998
935081,91-13-0061,JACKSON GULCH,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,ABANDONED,Gold (Placer),,"ORLOSKY, INC.","ORLOSKY, INC.",County of Imperial,2006,5.8,RECLAMATION NOT STARTED,CAMC 20516,10.00,,,32.823056,-114.775,-12776694.5558,3871841.0895000026
935082,91-13-0015,NORRISH MINE,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,RECLAIMED,Sand and Gravel,,GRANITE CONSTRUCTION COMPANY,GRANITE CONSTRUCTION COMPANY,County of Imperial,2011,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,BLANK,0.00,,0,32.823889,-115.281111,-12833034.5746,3871951.4360999987
935083,91-13-0060,CREOLE PROPERTY,"OPEN PIT,PLANT OR MILL,QUARRY",CLOSED - NEVER OPERATED,Limestone,,TXI RIVERSIDE CEMENT COMPANY,CREOLE CORPORATION,County of Imperial,2005,4.5,RECLAMATION NOT STARTED,"1-80,EIR225-79",,,,32.826111,-115.99,-12911947.7371,3872245.7870000005
935084,91-37-0022,TUNNEL HILL PIT,QUARRY,IDLE,Fill Dirt,,"C.W. MCGRATH, INC.","C.W. MC GRATH, INC.",County of San Diego,2018,8.8,RECLAMATION NOT STARTED,RP 79-002,0.00,21633,23412,32.826944,-116.911944,-13014578.0737,3872356.1372999996
935085,91-13-0086,HOLTVILLE CLAY PIT,OPEN PIT,ACTIVE,Sand and Gravel,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,2018,27,RECLAMATION NOT STARTED,BLANK,,19744.19,87215,32.834722,-115.2825,-12833189.1974,3873386.5654999986
935086,91-13-0039,PICACHO WASH PIT,OPEN PIT,RECLAIMED,Sand and Gravel,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,2011,18,RECLAMATION IN PROGRESS,CA060 FP22,0.00,,0,32.840556,-114.644444,-12762161.1284,3874159.5121000037
935087,91-13-0066,PADRE MADRE,"OPEN PIT,PLANT OR MILL",RECLAIMED,Gold (Lode),,AMERICAN GIRL MINING JOINT VENTURE,AMERICAN GIRL MINING JOINT VENTURE,County of Imperial,2002,0,RECLAMATION IN PROGRESS,"CAMC84648/,CUP746-86,RP27-87",,,23250,32.841944,-114.793056,-12778704.5405,3874343.4157000035
935088,91-13-0107,API-WORTHINGTON PIT,OPEN PIT,ACTIVE,Fill Dirt,,"AGGREGATE PRODUCTS, INC.","AGGREGATE PRODUCTS, INC.",County of Imperial,2018,63.57,RECLAMATION NOT STARTED,CUP 00-0019(3),128.00,54155.68,58851.88,32.853056,-115.511667,-12858699.9511,3875815.8081
935089,91-37-0068,TURVEY DG PIT,OPEN PIT,ACTIVE,Decomposed Granite,"Sand and Gravel,NOT REPORTED,Rock,Fill Dirt",TURVEY,TURVEY,County of San Diego,2018,17,RECLAMATION NOT STARTED,,17.00,31880,36027,32.855556,-116.816111,-13003909.993,3876147.0952999964
935090,91-13-0062,AMERICAN GIRL CANYON,"OPEN PIT,PLANT OR MILL,UNDERGROUND",RECLAIMED,Gold (Lode),Silver,AMERICAN GIRL MINING JOINT VENTURE,MK GOLD COMPANY,County of Imperial,2010,0,RECLAMATION IN PROGRESS,"CAMC 17603,CAMC 84648,CUP746-86,CUP828-88",,,0,32.856111,-114.788056,-12778147.9431,3876220.6423000023
935091,91-37-0063,"LAKESIDE LAND CO., INC.",OPEN PIT,RECLAIMED,Sand and Gravel,,"LAKESIDE LAND COMPANY, INC.","LAKESIDE LAND COMPANY, INC.",County of San Diego,2016,1.58,RECLAMATION IN PROGRESS,,122.00,,0,32.856944,-116.950556,-13018876.3419,3876331.0298999995
935092,91-37-0013,MIRAMAR,OPEN PIT,ACTIVE,Sand and Gravel,,HANSON AGGREGATES,HANSON AGGREGATES,City of San Diego,2018,77.21,RECLAMATION IN PROGRESS,BLANK,0.00,22500,,32.858056,-117.13,-13038851.9566,3876478.3918000013
935093,91-37-0025,"RCP PITS 1,2,3, & 5 INCLUSIVE",OPEN PIT,CLOSED NO INTENT TO RESUME,Sand and Gravel,,"RCP BLOCK & BRICK COMPANY, INC.","RCP BLOCK & BRICK, INC.",City of Santee,2018,0,RECLAMATION IN PROGRESS,,124.00,439000,94621.55,32.858333,-116.961667,-13020113.2128,3876515.1000000015
935094,91-37-0059,WOODWARD PIT - RECLAIMED,UNDETERMINED,RECLAIMED,Sand and Gravel,,"LAKESIDE LAND COMPANY, INC.","LAKESIDE LAND COMPANY, INC.",County of San Diego,2015,0,RECLAMATION IN PROGRESS,RP 88-009,23.00,12100,0,32.86,-116.940833,-13017793.9825,3876736.014399998
935095,91-37-0033,LAKESIDE RIVER PARK CONSERVANCY,"STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,PLANT OR MILL",RECLAIMED,Sand and Gravel,,LAKESIDE'S RIVER PARK CONSERVANCY,LAKESIDE'S RIVER PARK CONSERVANCY,County of San Diego,2010,44,RECLAMATION IN PROGRESS,RP 84-004,0.00,,0,32.861944,-116.93,-13016588.0585,3876993.6427000016
935096,91-37-0065,CHANNEL ROAD,OPEN PIT,ACTIVE,Sand and Gravel,,"HANSON AGGREGATES WEST, INC.",Hanson Aggregates Pacific South ,County of San Diego,2018,22,RECLAMATION IN PROGRESS,"RP 04-002, P04-011",22.00,2262825,2101639,32.865278,-116.929722,-13016557.1116,3877435.4936000034
935097,91-37-0034,EL MONTE PIT,DREDGE,CLOSED NO INTENT TO RESUME,Sand and Gravel,,ENDANGERED HABITATS CONSERVANCY,ENDANGERED HABITATS CONSERVANCY,County of San Diego,2018,74,RECLAMATION IN PROGRESS,"MUP 77-165,RP79-10",,,59264,32.866389,-116.896667,-13012877.4459,3877582.7368
935098,91-13-0109,API-RALPH ROAD PIT - RECLAIMED,OPEN PIT,RECLAIMED,Fill Dirt,,"AGGREGATE PRODUCTS, INC.","AGGREGATE PRODUCTS, INC.",County of Imperial,2016,80,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,01-0019,89.00,68007.28,0,32.8675,-115.524167,-12860091.4448,3877729.9817999974
935099,91-37-0010,WILLOW SAND RESOURCES,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,IDLE,Sand and Gravel,,SUPERIOR READY MIX,SUPERIOR READY MIX CONCRETE,County of San Diego,2018,20,RECLAMATION NOT STARTED,BLANK,0.00,250000,176610,32.874444,-116.921389,-13015629.486299999,3878650.3379999995
935100,91-13-0049,NEW RIVER FINES,OPEN PIT,IDLE,Sand and Gravel,,"FLORIDA ROCK INDUSTRIES, INC.",CALMAT CO. DBA VULCAN MATERIALS COMPANY,County of Imperial,2018,20,RECLAMATION IN PROGRESS,,20.00,70129,60918,32.875556,-115.619722,-12870728.5787,3878797.729000002
935101,91-13-0096,WHEELER ROAD PIT,OPEN PIT,RECLAIMED,Sand and Gravel,,LIDCO IMPERIAL VALLEY,LIDCO IMPERIAL VALLEY,County of Imperial,1996,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,"CA 35736,CA 35736",,,,32.876667,-115.754167,-12885694.9276,3878944.9892000034
935102,91-13-0008,WHEELER ROAD,QUARRY,EXEMPT,Sand and Gravel,,"VAL-ROCK, INC.","VAL-ROCK, INC.",County of Imperial,1991,0,RECLAMATION NOT STARTED,CA-28341,0.00,,,32.878611,-115.787222,-12889374.5934,3879202.6658999994
935103,91-13-0089,ORO CRUZ,"OPEN PIT,UNDERGROUND",RECLAIMED,Gold (Lode),Silver,AMERICAN GIRL MINING JOINT VENTURE,AMERICAN GIRL MINING JOINT VENTURE,County of Imperial,1999,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,BLANK,191.00,,,32.879167,-114.814444,-12781085.4418,3879276.3646000028
935104,91-13-0007,WHEELER,OPEN PIT,RECLAIMED,Sand and Gravel,,ZILLS,MASTERS CONSTRUCTION,County of Imperial,1996,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,BLM CA -35157,0.00,,,32.882778,-115.776667,-12888199.6162,3879755.019699998
935105,91-13-0081,WHEELER PIT,OPEN PIT,RECLAIMED,Sand and Gravel,,LITTLE TRUCKING COMPANY,LITTLE TRUCKING COMPANY,County of Imperial,1993,31.5,RECLAMATION IN PROGRESS,CA29955,,,,32.885833,-115.763056,-12886684.446600001,3880159.989699997
935106,91-13-0032,WHEELER ROAD (NAVY / HOGUE),OPEN PIT,RECLAIMED,Clay,,"IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS","IMPERIAL COUNTY, DEPARTMENT OF PUBLIC WORKS",County of Imperial,2012,5.5,RECLAMATION IN PROGRESS,CA-27435,0.00,,0,32.889167,-115.725833,-12882540.801199999,3880601.9597000033
935107,91-13-0050,NEW RIVER GRAVEL BAR,OPEN PIT,RECLAIMED,Sand and Gravel,,BUREAU OF LAND MANAGEMENT,CALTRANS,County of Imperial,1996,0,,136-90,0.00,,,32.893889,-115.641111,-12873109.5913,3881227.957699999
935108,91-37-0007,CARROLL CANYON PLANT,"OPEN PIT,PLANT OR MILL,QUARRY",CLOSED NO INTENT TO RESUME,Sand and Gravel,,MESA CANYON COMMUNITY PARTNERS LLC,MESA CANYON COMMUNITY PARTNERS LLC,City of San Diego,2018,227.7,RECLAMATION IN PROGRESS,CUP89-0585,554.00,3708612,3317346,32.897778,-117.165,-13042748.138799999,3881743.5495000035
935109,91-37-0073,EAST COUNTY SAND MINE,STREAMBED OR GRAVEL BAR SKIMMING AND PITTING,NEWLY PERMITTED,Sand and Gravel,,TURNER,"EAST COUNTY SAND, LLC",County of San Diego,2018,6.7,RECLAMATION NOT STARTED,,27.00,,193948.33,32.898056,-116.932778,-13016897.304,3881780.406800002
935110,91-37-0029,CARROLL CANYON,OPEN PIT,ACTIVE,Sand and Gravel,,CALMAT COMPANY,"CALMAT DBA., VULCAN MATERIALS CO.",City of San Diego,2018,261,RECLAMATION IN PROGRESS,,296.00,8913070,26463462,32.9,-117.131111,-13038975.6326,3882038.1457
935111,91-13-0067,SECTION 36,PROSPECT,RECLAIMED,Gold (Lode),,MK GOLD COMPANY,AMERICAN GIRL MINING JOINT VENTURE,County of Imperial,1996,0,RECLAMATION IN PROGRESS,"151-91,CUP1041-92",,,,32.9,-114.816667,-12781332.905000001,3882038.1457
935112,91-13-0087,EAST HIGHLINE CANAL,,RECLAIMED,Sand and Gravel,,"AGGREGATE PRODUCTS, INC.","AGGREGATE PRODUCTS, INC.",County of Imperial,1996,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,RP146-90,10000.00,,,32.900278,-114.955556,-12796793.9578,3882075.003899999
935113,91-37-0041,ENNISS,OPEN PIT,ACTIVE,Sand and Gravel,,"ENNISS, INC.","ENNISS, INC.",County of San Diego,2018,49,RECLAMATION IN PROGRESS,,54.00,300000,293949,32.903056,-116.931944,-13016804.4635,3882443.3269999996
935114,91-37-0019,TRIPLE T QUARRY,QUARRY,ACTIVE,Sand and Gravel,,SUPERIOR READY MIX CONCRETE,SUPERIOR READY MIX CONCRETE,County of San Diego,2018,32,RECLAMATION NOT STARTED,RP 88-008,0.00,399819,359239,32.905,-116.943889,-13018134.174899999,3882701.0803999975
935115,91-37-0043,ALLEN PIT,QUARRY,RECLAIMED,Decomposed Granite,,SAN DIEGO COUNTY - DEPARTMENT OF PUBLIC WORKS,"SAN DIEGO COUNTY, DEPARTMENT OF PUBLIC WORKS",County of San Diego,2003,0,RECLAMATION CERTIFIED COMPLETE BY LEAD AGENCY,072-736,28.00,500000,,32.905,-116.643889,-12984738.3276,3882701.0803999975
935116,91-37-0021,SLAUGHTERHOUSE CANYON,OPEN PIT,IDLE,Sand and Gravel,,HANSON AGGREGATES,HANSON AGGREGATES,County of San Diego,2018,105,RECLAMATION IN PROGRESS,PO78083,191.00,580461,696712,32.906667,-116.953333,-13019185.4761,3882922.1111999974
935117,91-37-0064,BAXTER QUARRY,QUARRY,IDLE,Sand and Gravel,,M. J. BAXTER DRILLING COMPANY,M.J. BAXTER DRILLING COMPANY,County of San Diego,2018,0,RECLAMATION IN PROGRESS,89-033,6.00,150622,190430,32.909722,-116.942222,-13017948.6053,3883327.190399997
