MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CURRENT_CONTROLLER_BEGIN_DT,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,LONGITUDE,LATITUDE,DIRECTIONS_TO_MINE,NEAREST_TOWN
100030,Tuscumbia Quarry,M,Surface,Active,06/21/1984,M00452,Rogers Group Inc,L06514,Rogers Group Inc,AL,1,33,Colbert,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,87.634167,34.675,"Take I65N to exit 310. Turn N onto Hwy. 157 the to Hwy. 72. Travel a short distance, turn L onto CR57. Travel approx. 2.5 miles to mine on left.",Tuscumbia
100034,Livingston Plant #1672,M,Surface,Active,11/26/1975,0144281,"Arcosa, Inc",0137693,"ARCOSA LW BR, LLC.",AL,1,119,Sumter,03/20/2015,145904.0,Common Clays NEC,1459.0,4.0,,,,,7.0,Nonmetal,,,N,,88.196667,32.565,"I-65 South exit I-459 West go to I- 20/59 West; proceed west to exit #17, turn left onto Hwy. 28, go approx. 1.7 miles to US 11 turn right (West)go 3.6 miles turn left at Industrial Park & Co Park signs, to to 2nd turn in on the left.(No company sign)",Livingston
100036,Cherokee Quarry ,M,Surface,Active,12/27/1984,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,33,Colbert,05/06/1996,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,87.971389,34.755556,"2 miles east of Cherokee, AL on Old Route 72",Cheerokee
100037,CHILDERSBURG QUARRY,M,Surface,Active,11/26/1975,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,121,Talladega,11/01/1984,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.355,33.278056,I-65 South exit I-459 East to US 280; proceed South through Childersburg approx. 2.0 miles South of Childersburg turn right on Flag Pole Mt. Rd.; go to stop sign continue to mine entrance just ahead on the right.,Childersburg
100039,Trinity Quarry ,M,Surface,Active,12/27/1984,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,103,Morgan,03/28/1981,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,87.04722199999999,34.618611,"From Decatur, AL, go west 5 miles on Hwy. 72 & Alt. 20. Mine is on left side of highway.",Trinity
100040,Montevallo Quarry & Mill,M,Surface,Active,04/05/1988,0041044,Lhoist Group,L13586,"Lhoist North America of Alabama, LLC",AL,1,117,Shelby,07/31/1989,327400.0,Lime,3274.0,0.0,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,6.0,Stone,6.0,Stone,N,,86.626944,33.165556,Approximately 4 miles from town of Calera on Hwy 25.,Montevallo
100043,Leeds Plant,M,Facility,Active,12/05/1975,M00004,Heidelberg Cement AG,L17551,Lehigh Cement Company LLC,AL,1,73,Jefferson,02/01/2002,324100.0,Cement,3241.0,0.0,,,,,6.0,Stone,,,N,,86.546944,33.540833,Off of Hwy 78,Leeds
100045,TUSCUMBIA QUARRY,M,Surface,Active,01/30/1998,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,33,Colbert,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,87.657377,34.730073,Alabama Hwy 72 West,Tuscumbia
100047,GLENCOE QUARRY,M,Surface,Active,12/05/1975,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,55,Etowah,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,85.940833,33.962778,Highway 431 South,Glenco
100050,Calera Quarry ,M,Surface,Active,12/05/1975,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,117,Shelby,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.75361099999999,33.102777,Exit 231 of I-65,Calera
100052,"Wade Sand & Gravel Co., Inc.",M,Surface,Active,12/05/1975,M38913,Robin A  Wade Jr,L39961,"Wade Sand & Gravel Co., Inc",AL,1,73,Jefferson,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.852778,33.5225,"Off I-59 S Exit 123, 2nd light left.",Birmingham
100093,Sandy Ridge Mill,M,Surface,Active,12/05/1975,M00362,Minerals Technologies Inc,L00006,American Colloid Company Mineral Group,AL,1,85,Lowndes,01/01/1950,145904.0,Common Clays NEC,1459.0,4.0,,,,,7.0,Nonmetal,,,N,,86.431111,32.053333,I-65 S to Letohatchee Exit (115) below Montgomery. Left on Hwy. 97 to Hwy. 31. Right app. one mile to mine on left.,Letohatchee
100094,Bessemer Shale Mine,M,Surface,Active,03/11/1990,0133461,Lone Star Funds Inc; Boral Industries Inc,0151095,Meridian Brick LLC,AL,1,73,Jefferson,04/01/2017,145910.0,Common Shale,1459.0,10.0,145904.0,Common Clays NEC,1459.0,4.0,7.0,Nonmetal,7.0,Nonmetal,N,,86.963611,33.339444,"Exit off I-459 at Exit 6, Morgan Rd head north.  Turn left on Hopewell Rd.  Turn left on Vulcan Road - Plant entrance on right.",Bessemer
100096,BORAL CLAY PITS,M,Surface,Active,09/15/2014,0133461,Lone Star Funds Inc; Boral Industries Inc,0151095,Meridian Brick LLC,AL,1,113,Russell,04/01/2017,144600.0,"Sand, Industrial NEC",1446.0,0.0,,,,,7.0,Nonmetal,,,N,,85.186389,32.456944,I 65 South take I85 East to exit 62 take US 280 South to Phenex City exit onto Colin Powell Pkwy. follow to stop sign turn right onto Brickyard Rd. mine is on the left.,Crawford
100115,Ragland ,M,Surface,Active,01/25/2013,M11407,G Geoff  Dunlap,L14985,"Ragland Clay Products,LLC",AL,1,115,St Clair,11/08/1996,145910.0,Common Shale,1459.0,10.0,,,,,7.0,Nonmetal,,,N,,86.155833,33.744444,Ragland City Hall/Police Station; Southeast on Hwy 144 2/10th of a mile cross rail road tracks.  Turn right on Industrial Dr Plant.,Ragland
100130,Scottsboro Quarry,M,Surface,Active,12/27/1984,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,71,Jackson,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.088611,34.623333,I-59 NORTH TO HWY. 431 TO GUNTERSVILLE. FOLLOW TO HWY. 79N. IN SCOTTSBORO TURN RIGHT OH HWY. 72 APPROX. 1/2 MILE ON LEFT,Scottsboro
100394,LONGVIEW OPERATION,M,Surface,Active,03/05/1974,M10266,Carmeuse Holding SA,0050945,Carmeuse Lime & Stone Inc,AL,1,117,Shelby,07/09/2002,327400.0,Lime,3274.0,0.0,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,6.0,Stone,6.0,Stone,N,,86.791944,33.216111,I-65 exit 238 turn onto Hwy 31 South continue for two miles plant is on the left.,Calera
100526,HELENA QUARRY,M,Surface,Active,09/08/2014,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,117,Shelby,01/01/1950,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.755833,33.106667,I-65 south exit 247 on 261 5 miles on right.,Helena
100535,Mark Donnell Sand Company,M,Surface,Active,01/07/1976,M35961,Doris Donnell  Mezick,L35961,Mark Donnell Sand Company,AL,1,45,Dale,01/01/1950,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,85.775,31.188333,"Hwy 84 West from Dothan, AL to Hwy 92.  Left to Clay Hatchee; Left on CR 26l; 1 mile across Rd. on right.",Daleville
100578,Bellwood Sand Plant,M,Surface,Active,04/01/1977,0131621,Dunn Investment Company; Aggregates Holding LLC,0149675,Couch Aggregates LLC,AL,1,61,Geneva,01/31/2017,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,85.789167,31.175,"5 miles North of Geneva, AL on Hwy 85.",Geneva
100617,Hurtsboro Plant,M,Surface,Active,02/26/1976,M11007,USS Holdings Inc,L14417,U S Silica Company,AL,1,113,Russell,03/09/1996,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,85.41665,32.24785,"From Hurtsboro go South on Hwy 51, 1.7 miles to mine on the right.",Hurtsboro
100629,ARGOS ROBERTA PLANT,M,Facility,Active,02/26/1976,0101985,Cementos Argos S A,0119988,Argos USA LLC,AL,1,117,Shelby,10/03/2011,324100.0,Cement,3241.0,0.0,149913.0,Shell,1499.0,13.0,6.0,Stone,7.0,Nonmetal,N,,86.623056,33.165833,3 Miles West of Calera on Hwy. 25,Calera
100634,Maylene Plant & Quarry,M,Surface,Active,02/26/1976,M00174,Martin Marietta Materials Inc,L16197,"Martin Marietta Materials, Inc.",AL,1,117,Shelby,07/18/2005,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.859444,33.193889,"From Birmingham take I-65 South, exit Shelby County Airport, follow county road 12 West, cross Route 119, continue West on CR 12 , mine entrance on left prior to raching county road 17.",Montevallo
100678,Cosby #1 Pit,M,Surface,Active,02/28/1972,M06823,Cosby P  Carmichael,L08609,Cosby-Carmichael Inc,AL,1,47,Dallas,01/01/1950,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,86.990833,32.399444,Access is on River Road (AL Hwy 140) off the By-pass across from Selma Flea Market.,Selma
100697,Tuscaloosa Plant,M,Surface,Active,12/27/1984,M00538,S C R-Sibelco Nv,L00645,Covia Holdings Corporation,AL,1,125,Tuscaloosa,12/03/1996,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,87.563611,33.141110999999995,Hwy 69 S to County Rd 26 take the right go 1 block turn left go 2/10 mile to Crabtree Rd turn right go to end off road to plant office.,Tuscaloosa
100853,Lacon Quarry ,M,Surface,Active,06/21/1984,0071891,Vulcan Materials Company,L16168,"Vulcan Construction Materials, LLC",AL,1,103,Morgan,03/28/1981,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.889167,34.338889,"Exit 318 off I-65 to 31 North, right 1 mile.",Falkville
101112,RIVERSIDE PIT & PLANT,M,Surface,Intermittent,02/21/2020,M04649,William C  Morris,L06754,Riverside Refractories Inc,AL,1,115,St Clair,10/01/1983,145904.0,Common Clays NEC,1459.0,4.0,,,,,7.0,Nonmetal,,,N,,86.24555600000001,33.59,"I-20 East to exit 156 In Pell City. Right on Hwy. 231 about 5 miles to right on Easonville Rd, just pass Easonville Housing Development. Mine is approx. one mile on left.",Pell City
101138,Scott Pit,M,Surface,Active,11/08/1993,M00873,Lemuel B  Carnes III,L13253,"Elmore Sand & Gravel, Inc",AL,1,51,Elmore,07/01/1993,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,86.339722,32.576667,"I-65 S TI EXIT 181, ON HWY. 14, AFTER APPROX. 7 MILES, LEFT ON HWY 143N. CONTINUE APPROX 3 MILES, THEN LEFT ON MARLON SPILLWAY RD ACROSS FROM DRAPER PRISON, CROSS TRACKS, THEN LEFT INTO MINE ENTRANCE.","Elmore, AL"
101264,Alabaster Plant,M,Facility,Active,10/01/2015,0041044,Lhoist Group,L13586,"Lhoist North America of Alabama, LLC",AL,1,117,Shelby,07/31/1989,327400.0,Lime,3274.0,0.0,,,,,6.0,Stone,,,N,,86.82055600000001,33.244167,I-65 South to Alabaster exit.  400 2nd Place N.W.  Directly behind city hall.,Alabaster
101565,Barbour County Mines ,M,Surface,Active,04/28/2020,M11763,Imerys S A,L00829,Mullite Company Of America,AL,1,5,Barbour,01/01/1950,145900.0,"Clay, Ceramic, Refractory Mnls.",1459.0,0.0,,,,,7.0,Nonmetal,,,N,,85.246667,31.789444,Go south on Hwy 79,Eufaula
101983,Smith Sand Company Inc,M,Surface,Active,08/20/2010,0095773,Dean D  Alford,0113145,Smith Sand Company,AL,1,97,Mobile,08/20/2010,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,88.194722,30.836944,"I-65 South exit 13, go west, turn riaght on 45, go 3.2 miles turn right on Co. 78, go 1/4 mile turn right next to Mairville church to mine gate.",Prichard
102014,Allsboro Quarry & Mill,M,Surface,Active,04/01/1979,0138921,Blue Water Industries Holdings LLC,L02727,Blue Water Industries,AL,1,33,Colbert,01/01/1979,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,88.11694399999999,34.726110999999996,11 miles SE of IUKA on state line road.,Cherokee
102087,Cypress Pit,M,Surface,Active,12/27/1984,M32467,Ronald H  Davis,L32467,Davis Sand & Gravel Inc,AL,1,65,Hale,01/01/1979,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,87.696667,32.962222,I 20/59 West to Tuscaloosa South on Al 69 to thru Mounville right on Hale Co 46 to Hale Co 21 turn left go 1.4 miles turn right on road go 1.3 miles to Co sign on the left.,Moundville
102140,Alexander City,M,Surface,Active,05/07/2013,M06183,CRH PLC,L13901,Midsouth Paving Inc.,AL,1,37,Coosa,07/11/2003,142300.0,"Crushed, Broken Granite",1423.0,0.0,,,,,6.0,Stone,,,N,,85.953889,32.943889,I-65S to I-459N to Hwy. 280 East to Alexander City - Right on Hwy. 22 - go Approx. 5.5 miles and turn left on County Road 32 (at brick chruch) - Go 9/10 mile turn right at company sign.,Alexander City
102200,Robison Mine & Mill,M,Surface,Intermittent,02/23/2011,M03124,Joseph S  Robison,L03901,Robison Sand & Gravel,AL,1,93,Marion,03/01/1980,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,88.127222,34.0375,I-65N exit Daniel Ppayne turn left go to Colburg Rd. turn right proceed to I-22 go west to Exit 14 go South on CR 35 approx. 2.5 miles turn right on CR 10. Go 1.4 miles to company sign on the right follow dirt road to mine.,Detroit
102237,Maddox  Pit,M,Surface,Active,10/14/2011,M13643,Berkshire Hathaway Inc,0118950,"Acme Brick Tile & Stone, Inc.",AL,1,101,Montgomery,05/15/2011,145904.0,Common Clays NEC,1459.0,4.0,,,,,7.0,Nonmetal,,,N,,86.313055,32.4375,Entrance on south right-of-way of Alabama River Parkway.,Montgomery
102343,Theodore Plant,M,Facility,Active,07/14/1981,0119681,LafargeHolcim Ltd,0051046,Holcim (US) Incorporated,AL,1,97,Mobile,12/12/2001,324100.0,Cement,3241.0,0.0,,,,,6.0,Stone,,,N,,88.160833,30.554721999999998,Take I-10 west to Hwy. 193 South intersection.  Go left on 163 watch for Holnam sign on right.,Theodore
102372,MARION COUNTY ROCK,M,Surface,Active,06/02/1998,M05226,Terry  Bunn; S T  Bunn Jr,L14962,Bunn Brothers Materials Inc,AL,1,93,Marion,09/22/1999,142902.0,"Crushed, Broken Sandstone",1429.0,2.0,,,,,6.0,Stone,,,N,,87.691388,33.999722,"I-65 North exit Daniel Payne, turn left go to Colberg Rd and turn right go to I-22; proceed west to exit 34 turn right on AL #233, go approx. 2.7 miles turn right on Co. Rd. 30, go 0.5 miles to mine erntrance on left.",Winfield
102523,Guntersville LS Quarry,M,Surface,Active,06/29/1983,M07809,Frank D Reed Jr,0154893,Whitaker Contracting Corp.,AL,1,95,Marshall,01/05/2018,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.25805600000001,34.4425,"Take I-59N  exit 183 to Guntersville,  proceed North on Hwy 431 (about 8 miles).  On Hwy 431 N just North of Junction 79 turn right on Convict Camp Road.  Proceed for approx. 1 mile.  Mine site is located on the right side of the road.",Guntersville
102606,COGLE PIT,M,Surface,Active,11/09/1989,0150921,Ronald  Brassell,L38337,Selma Gravel Inc.,AL,1,47,Dallas,09/01/1984,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,87.059167,32.346944,"5 miles South of Selma, AL",Selma
102660,North Huntsville Quarry & Mill,M,Surface,Active,05/28/1986,0138921,Blue Water Industries Holdings LLC,L02727,Blue Water Industries,AL,1,89,Madison,12/01/1985,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,327400.0,Lime,3274.0,0.0,6.0,Stone,6.0,Stone,N,,86.643333,34.778611,"I-65N TO I-65S TO HUNTSVILLE. TAKE EXIT 17A, TURN LEFT ONTO HWY. 53 NORTH. TURN RIGHT ON STRINGFIELD RD. MINE IS LEFT THAN 1 MILE.",Huntsville
102738,West Alabama Sand & Gravel,M,Surface,Active,08/25/1987,M40118,Clatus K  Junkin,L40118,"West Alabama Sand & Gravel, Inc.",AL,1,57,Fayette,08/01/1987,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,87.790277,33.758333,I-65 South exit I-459 West to I-20/59 West proceed to Tuscaloosa exit US 82 go west to Fayette proceed through the city turn right on Hwy. 129 go 0.9 miles to CR 36 go 200 yards turn right on dirt road at company sign.,Fayette
102743,Summit LS Quarry,M,Surface,Active,11/14/1988,M07809,Frank D Reed Jr,0154893,Whitaker Contracting Corp.,AL,1,9,Blount,01/05/2018,142200.0,"Crushed, Broken Limestone NEC",1422.0,0.0,,,,,6.0,Stone,,,N,,86.472778,34.204444,Hwy 278 and Hwy 79 intersection 1 Block to Hinds Rd.,Blountsville
102757,Plaster Mine,M,Surface,Active,10/02/2019,0060629,Donald R  Raughton Sr,0154773,Alabama Aggregate Inc.,AL,1,1,Autauga,12/19/2017,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,86.66305600000001,32.443889,"I65S to Exit 200 toward Verbena. Right on CR59, Left on to CR57, Right on to Autauga 6, Left on to Au 81, Right, on to Au 10, Left on to US82E, Right on to AU 165, Right on to AL 14W, Right on to CR19.","Autaugaville, AL"
102794,Boe Road Pit,M,Surface,Active,03/31/2010,M14125,Patricia W Esfeller; Michael W Esfeller,L18372,Coastal Sand & Gravel Inc,AL,1,97,Mobile,02/08/2001,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,88.255,30.508333,"I-10 west of Mobile, AL exit #15A US 98 with proceed thru St Elmo, turn right just past St Elmo feed and seed on March road; go 1/2 mile and turn left on Boe road; go 1/2 mile to the Mine on the right.",St Elmo
102810,OAKMULGEE  CRUSHER,M,Surface,Active,11/21/2014,0150921,Ronald  Brassell,L11069,Asphalt Contractors Inc,AL,1,47,Dallas,06/01/1989,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,87.099722,32.399722,"OFF OF HIGHWAY 14 NORTH OF SELMA, ALABAMA",Selma
102814,Phenix City Mine,M,Surface,Active,07/30/2013,M08463,Frank D  Foley III,0063883,Foley Materials Company,AL,1,113,Russell,09/28/2005,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,84.99972199999999,32.409721999999995,"I-65S TO I-459N, GO TO 280E, FOLLOW TO PHENIX CITY, TAKE COLIN POWELL PKWY, GO LEFT APPROX. 1/2 MILE TO BRICKYARD RD. GO RIGHT APPROX. 2.5 MILES, MINE ON LEFT.",Phenix City
102822,P & R Mining,M,Surface,Active,08/02/2006,0061469,Gary P  Peed,0078905,P & R LLC,AL,1,53,Escambia,05/01/2006,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,87.49638900000001,31.110556,Take Exit 57 off of I-65 going east to Poarch Road take right go south to New Home Cemetary sign take left (Blackshore Road) follow road around to right turn left in gate.,Atmore
102883,Knight Pit,M,Surface,Active,10/06/2015,M38697,Glenn  Stacey Jr,L38697,Stacey Construction LLC,AL,1,99,Monroe,10/01/1990,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,N,,87.325721,31.539239000000002,"I-65S to Exit 93. West on Hwy. 84 to Monroeville, North on Hwy. 21 through Monroeville.  Mine entrance is on left, 6 miles north of intersection of US 84 and Hwy. 41.","Monroeville, AL"
102894,"Southern Red Rock, LLC",M,Surface,Active,02/11/1991,0137181,Burke R Wakefield; Robert R Ryan,0051889,Southern Red Rock LLC,AL,1,73,Jefferson,10/28/2003,142903.0,"Crushed, Broken Slate",1429.0,3.0,,,,,6.0,Stone,,,N,,86.978719,33.501909999999995,Turn right on 3rd St. across from Pleasant Grove Athletic Complex,Pleasant Grove
102936,PIT JACKSON,M,Facility,Active,03/25/2014,M34360,Paul E  Weaver,L34360,Hosea O Weaver & Sons Inc,AL,1,25,Clarke,12/01/1991,144200.0,Construction Sand and Gravel,1442.0,0.0,,,,,5.0,SandAndGravel,,,Y,1.0,88.060833,30.731944,"I-65S to Exit #93, go West to Hwy. 84 West. Proceed to Grove Hill. Turn left on CR 18 (Luvv Road) Mine is on the right approx. 1 mile at the aspahlt plant. Home office is in Mobile.",Grove Hill
