Field Name,Order,Type (Format),Description
MINE_GAS_CATEGORY_CD,47,string (default),This categorization is used by underground Metal/Non-Metal mines and the surface mills of Subcategory I-C mines (gilsonite) mines. The purpose is to protect persons against the hazards of methane and dusts containing volatile matter. May contain null values if this does not apply.
METHANE_LIBERATION,48,number (default),Methane Liberation on Section (cubic feet each 24 hrs). May contain null values if this does not apply at the mine.
NO_PRODUCING_PITS,49,integer (default),Number of pits that are actively producing materials at the mine location (Coal only). May contain null values for both Coal and Metal/Non-Metal mines.
NO_NONPRODUCING_PITS,50,integer (default),Number of pits that are not producing materials at the mine location (Coal only). May contain null values if this does not apply at the mine.
NO_TAILING_PONDS,51,integer (default),Number of tailing ponds (Metal/Non-Metal mines only). May contain null values if this does not apply at the mine.
PILLAR_RECOVERY_USED,52,boolean (default),Indicator denoting whether or not a mine uses pillar recovery mining techniques (underground coal mines only) - ('Y' or 'N').
HIGHWALL_MINER_USED,53,boolean (default),Indicator denoting whether or not a mine uses a highwall miner (surface coal only) ('Y' or 'N').
MULTIPLE_PITS,54,boolean (default),Indicates whether there are multiple pits at the mine location ('Y' or 'N)'.
MINERS_REP_IND,55,boolean (default),Indicates where there is a miners' representative at the location ('Y' or 'N').
SAFETY_COMMITTEE_IND,56,boolean (default),Values are 'Y' or 'N'.
MILES_FROM_OFFICE,57,number (default),Driving distance to the mine/mill from the office responsible for conducting inspection. Can contain zeroes.
DIRECTIONS_TO_MINE,58,string (default),Free-form description of directions on how to get to the mine. It is input on the Legal Id Form (LID) and Mine Information Form (MIF). May contain null values.
NEAREST_TOWN,59,string (default),Nearest town or city. Entered on Mine Information Form (MIF). May contain null values.
