"Permit No","Site Name","Permittee Name","Project Name","Permit Type","Status","Rating","Location","City","County","EFO Name","__Issuance__","_Effective_","__Expiration__"
"TN0063282","American Sand Company, LLC - Sand Springs Mine and Processing Facility","American Sand Company, LLC","Sand Springs Mine & Processing Facility","Mining","Modification","Minor","Hwy 70 at Sand Springs (Monterey Hwy at Joe Jackson Road)","Monterey","Putnam","Cookeville","14-DEC-2017","01-JAN-2018","31-DEC-2022"
"TN0070084","BFI Waste Systems of Tennessee, LLC dba Middle Point Landfill
","BFI Waste Systems of Tennessee, LLC ","Middle Point Landfill - Limestone Quarry ","Mining","Active","Minor","750 East Jefferson Pike","Murfreesboro","Rutherford","Nashville","11-JAN-2017","15-JAN-2017","14-JAN-2022"
"TN0070378","Jake Copeland Quarry","BMJ Stone Company, LLC","Jake Copeland Quarry","Mining","New","Minor","2657 Pomona Road","Crossville","Cumberland","Cookeville","29-OCT-2018","01-NOV-2018","31-OCT-2023"
"TN0069949","BMJ Stone Company, LLC - Bickford Quarry","BMJ Stone Company, LLC","Bickford Quarry","Mining","Active","Minor","1152 Groves Road","Pikevlle","Van Buren","Cookeville","12-NOV-2015","12-NOV-2015","11-NOV-2020"
"TN0069906","BMJ Stone Company, LLC","BMJ Stone Company, LLC","Sandstone Processing Facility","Mining","New","Minor","405 County Seat Road","Crossville","Cumberland","Cookeville","16-JUL-2015","16-JUL-2015","15-JUL-2020"
"TN0069990","BMJ Stone Company, LLC - R3M","BMJ Stone Company, LLC - R3M Quarry","R3M Quarry","Mining","New","Minor","Groves Road Pikeville, TN","-","Van Buren","Cookeville","23-FEB-2016","01-MAR-2016","22-FEB-2021"
"TN0061069","BWI ETN LLC dba Blue Water Industries 
BWI Unicoi, LLC - Quarry ","BWI ETN LLC dba Blue Water Industries","BWI Unicoi, LLC - Quarry","Mining","Reissuance","Minor","4175 Marbleton Road","Unicoi","Unicoi","Johnson City","14-MAY-2020","01-JUN-2020","31-MAY-2025"
"TN0004987","BWI ETN dba Blue Water Industries LLC
BWI Forks of the River, LLC Quarry","BWI ETN LLC dba Blue Water Industries","BWI Forks of the River Quarry, LLC Quarry","Mining","Modification","Minor","2303 John Sevier Highway (SR-168)","Knoxville","Knox","Knoxville","17-MAY-2018","01-JUN-2018","31-MAY-2023"
"TN0071030","BWI Coy Stone, LLC
","BWI ETN LLC dba Blue Water Industries","BWI Coy Stone, LLC Plant","Mining","Modification","Minor","345 East Broadway Boulevard 
","Jefferson City","Jefferson","Knoxville","27-APR-2018","01-JUN-2018","31-MAY-2023"
"TN0031089","BWI ETN LLC dba Blue Water Industries
BWI Midway, LLC - Quarry
","BWI ETN LLC dba Blue Water Industries","BWI Midway, LLC - Quarry","Mining","Modification","Minor","9600 Mascot Road","Mascot","Knox","Knoxville","19-APR-2018","01-MAY-2018","30-APR-2023"
"TN0001775","BWI ETN LLC dba Blue Water Industrties
BWI Watauga, LLC - Quarry","BWI ETN LLC dba Blue Water Industries","BWI Watauga, LLC - Quarry","Mining","Reissuance","Minor","350 West Fourth Avenue","Watauga","Carter","Johnson City","01-DEC-2017","01-DEC-2017","30-NOV-2022"
"TN0066010","BWI ETN LLC, Blue Water Industries dba BWI Locust Mount, LLC Quarry
Locust Mount, LLC - Quarry ","BWI ETN LLC dba Blue Water Industries","BWI Locust Mount, LLC - Quarry","Mining","Active","Minor","164 Asphalt Plant Road","Jonesborough","Washington","Johnson City","17-NOV-2017","01-DEC-2017","30-NOV-2022"
"TN0068977","BWI ETN LLC dba Blue Water Industries BWI Elizabethton, LLC - Quarry ","BWI ETN LLC dba Blue Water Industries","BWI Elizabethton, LLC - Quarry","Mining","Modification","Minor","210 Judge Ben Allen Road","Elizabethton","Carter","Johnson City","06-APR-2017","06-APR-2017","05-APR-2022"
"TN0027588","BWI ETN LLC, dba Blue Water Industries
BWI Tri-Cites Airport, LLC Quarry
","BWI ETN LLC dba Blue Water Industries","BWI Tri-Cites Airport, LLC Quarry","Mining","Modification","Minor","736 Centenary Road","Blountville","Sullivan","Johnson City","23-NOV-2016","01-DEC-2016","30-NOV-2021"
"TN0063355","BWI ETN LLC dba Blue Water Industries
BWI I-75, LLC Quarry (West)
","BWI ETN LLC dba Blue Water Industries","BWI I-75, LLC Quarry (West)","Mining","Reissuance","Minor","9509 Diggs Gap Road","Heiskell","Knox","Knoxville","01-MAY-2016","01-AUG-2016","31-JUL-2021"
"TN0072516","BWI ETN LLC dba Blue Water Industries 
BWI Riverbend, LLC Quarry ","BWI ETN LLC dba Blue Water Industries","BWI Riverbend, LLC Quarry","Mining","Reissuance","Minor","605 Cherokee Explosive Drive
","Rutledge","Grainger","Knoxville","17-MAR-2016","01-JUN-2016","31-MAY-2021"
"TN0066397","BWI ETN LLC dba Blue Water Industries 
BWI Greenback, LLC Quarry 
","BWI ETN LLC dba Blue Water Industries","BWI Greenback, LLC Quarry","Mining","Active","Minor","2107 Big Hill Road","Lenoir City","Loudon","Knoxville","01-OCT-2014","01-OCT-2014","30-SEP-2019"
"TN0079341","BWI ETN LLC dba Blue Water Industries
BWI I-75, LLC Quarry (East)","BWI ETN LLC dba Blue Water Industries
","BWI I-75, LLC Quarry (East)","Mining","Reissuance","Minor","1949 East Racoon Valley Drive","Heiskell","Knox","Knoxville","27-NOV-2019","01-JAN-2020","31-DEC-2024"
"TN0060771","BWI MTN II Inc., dba Blue Water Industries Smyrna Quarry / Asphalt Plant
","BWI MTN II Inc. dba Blue Water Industries","Smyrna Quarry","Mining","Active","Minor","5441 Hickory Grove Road","Smyrna","Rutherford","Nashville","10-DEC-2019","01-FEB-2020","31-JAN-2025"
"TN0059455","Murfreesboro Quarry 608","BWI MTN II Inc. dba Blue Water Industries","Murfreesboro Quarry","Mining","Reissuance","Minor","2106 Twin Oak Drive","Murfreesboro","Rutherford","Nashville","27-APR-2018","01-MAY-2018","30-APR-2023"
"TN0059617","BWI MTN II Inc., dba Blue Water Industries Lebanon Quarry / Asphalt Plant","BWI MTN II Inc. dba Blue Water Industries","Lebanon Quarry","Mining","Reissuance","Minor","2147 Murfreesboro Road","Lebanon","Wilson","Nashville","01-FEB-2018","01-MAR-2018","28-FEB-2023"
"TN0076201","Berry Hills Corporation  - Quarry #1","Berry Hills Corporation ","Quarry #1","Mining","Reissuance","Minor","PO Box 1267","Bulls Gap","Hawkins","Johnson City","28-JUN-2018","01-AUG-2018","31-JUL-2023"
"TN0069493","Bluegrass Materials, LLC and Hiwassee Paving, LLC","Bluegrass Materials, LLC (formerly East Tennessee Materials, LLC)","Calhoun Quarry","Mining","Modification","Minor","130 CR-971 (Oostanaula Valley Road)","Calhoun","McMinn","Chattanooga","18-DEC-2015","28-JAN-2016","27-JAN-2021"
"TN0070181","Bobby Hall Stone - Cumberland Quarry","Bobby Hall Stone ","Quarry No. 1 ","Mining","New","Minor","510 Officer Knob","Crossville","Cumberland","Cookeville","09-JAN-2017","01-FEB-2017","31-JAN-2022"
"TN0070394","Bryan Daniels Property","Bryan Daniels dba Daniels & Parvin Sand Company","Daniels Sand Mine","Mining","New","Minor","River Mile 61 Nolichuky","Afton","Greene","Johnson City","10-APR-2019","01-MAY-2019","30-APR-2024"
"TN0079642","Bubba Johnson Sand and Gravel, L.L.C.  - Bubba Johnson Contractors Sand Plant","Bubba Johnson Sand and Gravel, L.L.C. - Bubba Johnson Contractors Sand Plant","Bubba Johnson Contractors Sand Plant","Mining","New","Minor","Northwest corner of So. Highland Ave and Bond Creek (Map 100P, Parcel 5.01).  Cerro Gordo Road","Jackson","Madison","Jackson","15-JUN-2020","01-JUL-2020","30-JUN-2025"
"TN0071625","Butler Stone And Gravel Cook Hollow Quarry, Inc.","Butler Stone & Gravel","Cook Hollow Quarry ","Mining","Reissuance","Minor","1571 Doe Creek Road","Butler","Johnson","Johnson City","30-APR-2018","01-MAY-2018","30-APR-2023"
"TN0048895","Consol Mining Company, LLC 
Formerly: Consolidation Coal Company","CONSOL Mining Company, LLC","Matthews Mine Complex","Mining","Reissuance","Minor","Consolidation Coal 
Matthews Mine Complex","Clairfield","Claiborne","Knoxville","20-OCT-2017","01-NOV-2017","31-OCT-2022"
"TN0070009","CSH, Inc., dba Custom Stone Handlers, Inc.","CSH, Inc. dba Custom Stone Handlers, Inc.","Soddy Daisy Site","Mining","Modification","Minor","8447 Dayton Pike","Soddy-Daisy","Hamilton","Chattanooga","19-SEP-2016","01-OCT-2016","30-SEP-2021"
"TN0070149","Calcium Silicate Corporation, Inc.","Calcium Silicate Corporation, Inc.","Columbia Plant","Mining","New","Minor","2656 Harlan Farm Rd","Columbia","Maury","Columbia","09-JAN-2017","01-JAN-2017","31-DEC-2021"
"TN0070556","Camden Gravel Company","Camden Gravel Company","Camden Gravel Mine","Mining","New","Minor","Missionary Grove Church Road","Camden","Benton","Jackson","09-APR-2020","01-MAY-2020","30-APR-2025"
"TN0070076","Camden Gravel Company, Pit No. 5","Camden Gravel Company","Camden Pit No. 5 ","Mining","New","Minor","US Highway 70 Bypass","Camden","Benton","Jackson","12-JAN-2017","01-FEB-2017","31-JAN-2022"
"TN0069540","Camden Gravel Company, Bivins Cypress Creek Mine","Camden Gravel Company","Camden - Bivins Cypress Creek Mine ","Mining","Reissuance","Minor","Bivins Cypress Creek Road","Camden","Benton","Jackson","03-JUN-2016","01-SEP-2016","31-AUG-2021"
"TN0063606","Campbell County Highway Dept.","Campbell County Hwy. Dept.","Area No. 1 ","Mining","Reissuance","Minor","136 Mount Paran Road","Jacksboro","Campbell","Knoxville","15-MAY-2018","01-JUN-2018","31-MAY-2023"
"TN0060844","Carmeuse Lime & Stone, O-N Minerals (Luttrell) Company","Carmeuse Lime & Stone","Luttrell Operation","Mining","Reissuance","Minor","486 Clinch Valley Road","Luttrell","Union","Knoxville","20-SEP-2019","01-DEC-2019","30-NOV-2024"
"TN0060127","Carmeuse Lime and Stone - Thorn Hill Operation","Carmeuse Lime and Stone ","Thorn Hill Operation","Mining","Reissuance","Minor","379 Dave Jackson Road","Thorn Hill","Grainger","Knoxville","05-APR-2018","01-MAY-2018","30-APR-2023"
"TN0079782","Caryville Limestone LLC","Caryville Limestone LLC","Caryville Limestone","Mining","Reissuance","Minor","Off Highway 116 in Vasper ","Caryville","Campbell","Knoxville","06-APR-2018","06-APR-2018","05-APR-2023"
"TN0069965","Cave Cove Stone LLC - Stone Site (Martin Springs)","Cave Cove Stone LLC","Cave Cove Stone","Mining","New","Minor","2289 Martin Springs Rd","Cave Cove","Marion","Chattanooga","23-FEB-2016","23-FEB-2016","22-FEB-2021"
"TN0069388","Cedar Hill Construction & Supply Co., Inc.","Cedar Hill Construction & Supply Co., Inc.","Cedar Hill Quarry","Mining","Reissuance","Minor","389 Hunter Branch Lane","LaFollette","Campbell","Knoxville","04-MAR-2020","04-MAR-2020","03-MAR-2025"
"TN0070211","Childer's Hill Sand & Gravel - Childer's Hill Pitt","Childer's Hill Sand & Gravel","Childer's Hill Pit","Mining","New","Minor","874 Bud Clearly Road","Stantonville","Hardin","Jackson","17-MAR-2017","01-APR-2017","31-MAR-2022"
"TN0069833","Mine Road Property","Claiborne Hauling LLC","Mine Road","Mining","Modification","Minor","Old Mine Road","Mascot","Knox","Knoxville","25-FEB-2019","01-MAR-2019","29-FEB-2024"
"TN0070271","Claiborne Hauling, LLC 
Fish Lake","Claiborne Hauling LLC","Fish Lake Quarry ","Mining","Modification","Minor","4714 A Rutledge Pike ","Rutledge","Grainger","Knoxville","17-MAY-2019","17-MAY-2019","19-MAR-2023"
"TN0069311","Mine 12 - Owl Hole Gap","Claiborne Hauling LLC
Formerly: Tennessee Valley Aggregate Company, LLC","Mine 12 - Owl Hole Gap","Mining","Reissuance","Minor","455 Owl Gap Road","Rutledge","Grainger","Knoxville","15-APR-2019","01-JUL-2019","30-JUN-2024"
"TN0070475","Claiborne Hauling LLC - Friendsville South 321 Quarry","Claiborne Hauling, LLC","Friendsville South 321 Quarry","Mining","New","Minor","412 Endsley Quarry Road","Friendsville","Blount","Knoxville","15-JAN-2020","01-FEB-2020","31-JAN-2025"
"TN0069795","Claiborne Hauling, LLC - Fox Farm Development","Claiborne Hauling, LLC - Fox Farm Development 
Formerly: Tennessee Valley Aggregate Company, LLC","Quarry 14","Mining","Reissuance","Minor","6210 Rutledge Pike","Blaine","Grainger","Knoxville","01-OCT-2018","01-OCT-2018","30-SEP-2023"
"TN0070441","Thorn Hill Quarry","Clear Development, LLC","Thorn Hill Quarry","Mining","New","Minor","911 Tennessee Highway 131","Thorn Hill","Grainger","Knoxville","13-SEP-2019","01-OCT-2019","30-SEP-2024"
"TN0072231","Clear Energy Corporation (formerly Dalco Of Tennessee, Inc.)","Clear Energy Corporation ","Oliver Springs Tipple and Coal Refuse Area","Mining","Reissuance","Minor","Tipple #1","Oliver Springs","Morgan","Knoxville","01-DEC-2017","01-DEC-2017","30-NOV-2022"
"TN0070106","Coastal Rock Inc. (formerly TMC River Operations Inc.) - Linden Quarry","Coastal Rock, Inc.","Linden Quarry","Mining","New","Minor","4716 Lego School Road 

","Linden","Perry","Columbia","12-APR-2017","12-APR-2017","11-APR-2022"
"TN0066613","Cocke County Highway Department","Cocke County Highway Dept.","Cocke County Quarry ","Mining","Reissuance","Minor","820 Lower Quarry Road","Newport","Cocke","Knoxville","10-JAN-2020","01-FEB-2020","31-JAN-2025"
"TN0076252","Cook Stone Company - Seed Tick Quarry","Cook Stone Company, LLC","Seed Tick Quarry","Mining","Reissuance","Minor","3070 Westel Road","Rockwood","Morgan","Knoxville","22-JAN-2018","01-FEB-2018","31-JAN-2023"
"TN0079758","Cook Stone Company - Westel Road Stone Yard","Cook Stone Company, LLC","Westel Road Stone Yard","Mining","Modification","Minor","3070 Westel Road","Rockwood","Cumberland","Cookeville","22-AUG-2018","22-AUG-2018","31-OCT-2022"
"TN0001881","Covia Holdings Corporation","Covia Holdings Corporation
Formerly: Unimin Corporation, Plant 3 Camden","Plant 3 Site","Mining","Incomplete","Minor","1700 Sand Mill Road","Camden","Benton","Jackson","13-SEP-2017","01-DEC-2017","30-NOV-2022"
"TN0066532","Covia Holdings Corporation 
B-2 Mine/Reservoir/Classifier","Covia Holdings Corporation 
Formerly: Unimin Corporation","B-2 Mine","Mining","Modification","Minor","1700 Sand Mill Road","Camden","Benton","Jackson","02-NOV-2018","01-DEC-2018","30-NOV-2023"
"TN0069850","Crab Orchard Stone Company, Inc.","Crab Orchard Stone Company, Inc.","-","Mining","Reissuance","Minor","Rock Quarry Road","Crossville","Cumberland","Cookeville","15-MAY-2019","01-JUN-2019","31-MAY-2024"
"TN0071633","Crossville Coal Inc ","Crossville Coal, Inc.","Turner Mine","Mining","Incomplete","Minor","6728 Smith Mountain Road","Crab Orchard","Cumberland","Cookeville","22-JUL-2019","01-AUG-2019","11-MAY-2020"
"TN0070602","Crossville Stone Company","Crossville Stone Company","Crossville Stone Quarry","Mining","New","Minor","9170 Hwy 127 S","Crossville","Cumberland","Cookeville","20-MAY-2020","20-MAY-2020","19-MAY-2025"
"TN0070114","Crump Sand and Gravel Pit Quarry","Crump Sand & Gravel Inc.","Pit Quarry","Mining","New","Minor","23030 Hwy 69","Crump","Hardin","Jackson","12-APR-2017","12-APR-2017","11-APR-2022"
"TN0070092","Crump Sand & Gravel","Crump Sand and Gravel, Inc.","Crump Sand and Gravel Mine","Mining","Incomplete","Minor","Highway 22(Sheffield Road), near New Hope Drive","Crump","Hardin","Jackson","-","-","-"
"TN0069655","CSH, Inc., dba Custom Stone Handlers, Inc.","Custom Stone Handlers, Inc.","Soddy-Daisy Rock Processing Plant ","Mining","New","Minor","Industrial park Drive","Soddy Daisy","Hamilton","Chattanooga","29-JUN-2018","01-JUL-2018","30-JUN-2023"
"TN0079448","Custom Stone, LLC - Lusk Gap Quarry","Custom Stone, LLC","Lusk Gap Quarry","Mining","Reissuance","Minor","State Route 127, Log Mile 7.8","Hillsboro","Coffee","Columbia","09-APR-2020","01-JUN-2020","31-MAY-2025"
"TN0069396","Wright Paving Contractors, Inc. and Custom Stone, LLC","Custom Stone, LLC","Shelbyville Quarry","Mining","Reissuance","Minor","196 L Fisher Road","Shelbyville","Bedford","Columbia","09-APR-2020","01-JUN-2020","31-MAY-2025"
"TN0072567","DRC Coal LLC (Formerly Mountainside Coal Company) Cooper Ridge Area 2","DRC Coal LLC (Formerly Mountainside Coal Company)","Cooper Ridge Area#2","Mining","Modification","Minor","Cooper Ridge Area 2","Clairfield","Claiborne","Knoxville","16-MAR-2018","16-MAR-2018","31-JUL-2021"
"TN0072877","DRC Coal LLC (formerly Mountainside Coal Company)- Leach Mountain Areas 6c & 6d","DRC Coal LLC (formerly Mountainside Coal Company)","Leach Mt Area 6C &D","Mining","Modification","Minor","7692 South Highway 25w","-","Claiborne","Knoxville","16-MAR-2018","16-MAR-2018","31-JUL-2021"
"TN0042722","Davex Energy Shipping and Processing Plant","Davex Energy, LLC","Davex Energy Processing Plant","Mining","Active","Minor","548 Wooldridge Pike","Jellico","Campbell","Knoxville","25-JUL-2019","01-AUG-2019","31-JUL-2024"
"TN0070416","Davis Creek Energy, LLC, Area # BG-1","Davis Creek Energy, LLC","Davis Creek Energy Area BG-1","Mining","Incomplete","Minor","Lick Fork Road","Stanfill","Campbell","Knoxville","-","-","-"
"TN0069248","Davis Creek Energy, LLC, Area # 1","Davis Creek Energy, LLC","Davis Creek Energy Mine 1","Mining","Active","Minor","Westbourne Lane","Duff","Campbell","Knoxville","13-MAR-2020","01-APR-2020","31-MAR-2025"
"TN0070408","Davis Creek Energy, LLC, Area # 6","Davis Creek Energy, LLC","Area 6","Mining","Active","Minor","Westborne Lane","Duff","Campbell","Knoxville","06-MAR-2020","01-APR-2020","31-MAR-2025"
"TN0069183","Davis Creek Energy, LLC, Area # 5","Davis Creek Energy, LLC","Area 5","Mining","Reissuance","Minor","Davis Creek Road","Duff","Campbell","Knoxville","03-AUG-2017","03-AUG-2017","02-AUG-2022"
"TN0069604","DeKalb County Highway Department","DeKalb County Highway Department","Highway Department Rock Crusher ","Mining","Reissuance","Minor","1640 Murfreesboro Highway (Highway 96 West)","Liberty","DeKalb","Cookeville","30-JUN-2016","01-SEP-2016","31-AUG-2021"
"TN0069094","Delta Contracting Company, LLC - Denmark Sand Plant","Delta Contracting Co. LLC","Denmark Sand Plant","Mining","Reissuance","Minor","329 Hardee Road ","Jackson","Madison","Jackson","14-SEP-2016","01-OCT-2016","30-SEP-2021"
"TN0069469","Tri County Investments, LLC dba Tri County Stone","Denny Patterson, Owner
Tri County Investments, LLC ","Tri County Stone Quarry ","Mining","Reissuance","Minor","481 Oak Grove Road","Sharps Chapel","Union","Knoxville","02-JUL-2015","08-SEP-2015","07-SEP-2020"
"TN0052485","Double Mountain Mining, LLC - Area #5
Mine ","Double Mountain Mining LLC","Area 5","Mining","Reissuance","Minor","SR-132, Motch","Middlesboro","Claiborne","Knoxville","01-JUN-2017","01-JUN-2017","31-MAY-2022"
"TN0072176","Double Mountain Mining, LLC  - Jellico North Deep Mine","Double Mountain Mining LLC","Jellico North underground Mine","Mining","Reissuance","Minor","Valley Creek Road","Clairfield","Claiborne","Knoxville","29-MAR-2017","01-APR-2017","31-MAR-2022"
"TN0079219","Middlesboro Mining Operations, Inc. - Valley Creek Tipple","Double Mountain Mining, LLC","Valley Creek Tipple","Mining","Reissuance","Minor","PO Box 1727","Clairfield","Claiborne","Knoxville","01-NOV-2017","01-NOV-2017","31-OCT-2022"
"TN0079634","Double Mountain Mining,LLC - Buckeye Springs Surface Mine 2","Double Mountain Mining, LLC","Buckeye Spring 2 Surface Mine","Mining","Modification","Minor","Valley Creek Road","Clairfield","Claiborne","Knoxville","06-SEP-2017","06-SEP-2017","05-SEP-2022"
"TN0072818","Middlesboro Mining Operations, Inc. - Jellico South Deep Mine","Double Mountain Mining, LLC","Jellico South Deep Mine","Mining","Reissuance","Minor","Valley Creek Road","Manring","Claiborne","Knoxville","29-MAR-2017","01-APR-2017","31-MAR-2022"
"TN0054097","Double Mountain Mining, LLC - Deep Mine 1 & 3 and Surface Mine 2","Double Mountain Mining, LLC","Deep Mines 1 & 3, Surface Mine 2","Mining","Reissuance","Minor","SR-132, Motch","Middlesboro","Claiborne","Knoxville","27-OCT-2016","01-NOV-2016","31-OCT-2021"
"TN0076414","Double Mountain Mining, LLC - Jellico Strip Mine","Double Mountain Mining, LLC","Jellico Strip Mine","Mining","Incomplete","Minor","SR-90 and Valley Creek Road","Clairfield","Claiborne","Knoxville","20-OCT-2014","20-OCT-2014","23-JUL-2019"
"TN0069281","Double Mountain Mining, LLC  Sterling & Strays Mine 1","Double Mountain Mining, LLC.","Sterling-Strays Surface Mine 1","Mining","Reissuance","Minor","Rich Gap -Valley Creek Road ","Clairfield","Claiborne","Knoxville","20-OCT-2014","-","17-AUG-2019"
"TN0079626","Double Mountain Mining, LLC 
Formerly:
Middlesboro Mining Operations, Inc","Double Mountain Mining, LLC.","KY Line Rich Mountain Mine","Mining","Reissuance","Minor","Valley Creek Road","Clairfield","Claiborne","Knoxville","20-OCT-2014","26-OCT-2007","31-JUL-2019"
"TN0072338","Middlesboro Mining Operations, Inc. - Bennett's Fork Mine","Double Mountain Mining, LLC.","Bennett's Fork Tennessee Surface Mine","Mining","Incomplete","Minor","SR-132, Manring","Clairfield","Claiborne","Knoxville","19-APR-2017","30-APR-2017","10-JUL-2019"
"TN0079359","Middlesboro Mining Operations, Inc. - Mingo Mine 1","Double Mountain Mining,LLC","Mingo Mine (Underground Coal Mine)","Mining","Reissuance","Minor","PO Box 1727","Manring","Claiborne","Knoxville","15-MAR-2018","15-MAR-2018","30-NOV-2021"
"TN0065811","Dunlap Stone, Inc. - Quarry 1","Dunlap Stone, Inc.","Quarry 1","Mining","Reissuance","Minor","5139 West Valley Road","Dunlap","Sequatchie","Chattanooga","18-FEB-2020","01-MAR-2020","28-FEB-2025"
"TN0071331","Dunlap Stone, Inc. Quarry 3","Dunlap Stone, Inc.","Plant #3","Mining","Reissuance","Minor","47437 State Road 30","Pikeville","Bledsoe","Chattanooga","08-JUN-2015","06-SEP-2015","05-SEP-2020"
"TN0065803","Dunlap Stone, Inc. - Quarry 2","Dunlap Stone, Inc.","Quarry #2","Mining","Reissuance","Minor","1719 Valley View Highway","Jasper","Marion","Chattanooga","25-JUL-2014","01-NOV-2014","31-OCT-2019"
"TN0066257","Dunlap Stone, Inc. (Plateau Sand Site)","Dunlap Stone, Inc.
","Plateau Sand Site","Mining","Reissuance","Minor","5497 Henson Gap Road","Dunlap","Sequatchie","Chattanooga","20-NOV-2019","01-DEC-2019","30-NOV-2024"
"TN0076236","Duracap Asphalt Materials, LLC","Duracap Asphalt Materials, LLC","Asphalt Plant ","Mining","Active","Minor","9509 DIGGS GAP RD HEISKELL TN 37754","HEISKELL","Knox","Knoxville","01-NOV-2017","01-DEC-2017","30-NOV-2022"
"TN0072613","Duracap Materials, LLC dba Goins Hollow Quarry / Willis Paving Inc
","Duracap Materials, LLC
Formerly: Goins Hollow Quarry LLC","Goins Hollow Quarry ","Mining","Reissuance","Minor","4586 Highway 25 East","Tazewell","Claiborne","Knoxville","11-JAN-2019","11-JAN-2019","01-NOV-2020"
"TN0069761","EP Minerals, LLC – Mine 6 (formerly Moltan Company Mine 4)","EP Minerals, LLC","Mine 6","Mining","Reissuance","Minor","County road off Highway 125 South","Middleton","Hardeman","Memphis","15-JAN-2019","01-FEB-2019","31-JAN-2024"
"TN0069841","EP Minerals, LLC - Mine 7","EP Minerals, LLC - Mine 7","Mine 7","Mining","Reissuance","Minor","220 Highway 125 South","Middleton","Hardeman","Memphis","19-JUN-2019","01-JUL-2019","30-JUN-2024"
"TN0063657","Asbury Project Area 1","East Tennessee Industries, Inc.","Asbury Project Area 1","Mining","Reissuance","Minor","N& S of Cinder Lane and NE of Marbledale","Knoxville","Knox","Knoxville","08-JUN-2018","01-JUL-2018","30-JUN-2023"
"TN0070327","Engle Investments, LLC Bringle Road Sand & Gravel 
Bringle Farming Company Borrow Pit","Engle Investments, LLC Bringle Road Sand & Gravel ","Bringle Road Sand and Gravel ","Mining","New","Minor","1050 Bringle Road","Covington","Tipton","Memphis","17-AUG-2018","01-SEP-2018","31-AUG-2023"
"TN0069043","Ferrell Paving, Inc. - Chelsea Plant","Ferrell Paving, Inc. (formerly Metro Materials, Inc.)","Chelsea Mine - Area 1","Mining","Incomplete","Minor","1793 Nedra Avenue","Memphis","Shelby","Memphis","15-APR-2015","01-JUL-2015","30-JUN-2020"
"TN0071242","Ford Construction Company - Orr Pit","Ford Construction Co., Inc.","Orr Pit","Mining","Reissuance","Minor","Orr Road","Troy","Obion","Jackson","05-NOV-2019","01-DEC-2019","30-NOV-2024"
"TN0071072","White Pit","Ford Construction Co., Inc.","White Pit ","Mining","Reissuance","Minor","Meachum Rd","Dyersburg","Dyer","Jackson","26-JUN-2015","19-SEP-2015","18-SEP-2020"
"TN0072052","Old London Pit","Ford Construction Company","Old London Pit","Mining","Reissuance","Minor","Kendall Road","Troy","Obion","Jackson","17-AUG-2018","01-NOV-2018","31-OCT-2023"
